panel_code,n_neighbors,neighbor_codes
51720,8,"[41820, 41830, 51110, 51150, 51730, 51760, 51830, 51810]"
51730,5,"[41830, 51130, 51720, 51750, 51760]"
51750,9,"[43150, 43800, 47210, 47920, 51130, 51190, 51730, 51760, 51770]"
51760,5,"[51150, 51720, 51730, 51750, 51770]"
51770,6,"[51150, 51170, 51190, 51230, 51750, 51760]"
51780,3,"[41650, 41800, 51790]"
51790,5,"[41650, 41820, 51110, 51780, 51800]"
51800,3,"[51110, 51790, 51810]"
51810,6,"[51110, 51210, 51720, 51800, 51830, 51820]"
51820,2,"[51210, 51810]"
51830,4,"[51150, 51210, 51720, 51810]"
52110,3,"[52210, 52140, 52710]"
52130,3,"[44770, 52210, 52140]"
52140,7,"[44230, 44760, 44770, 52110, 52130, 52210, 52710]"
52180,7,"[46880, 52750, 52770, 52210, 52790, 52800, 52710]"
52190,7,"[46720, 46730, 48850, 48870, 52750, 52740, 52770]"
52210,6,"[52110, 52130, 52140, 52180, 52800, 52710]"
52710,8,"[44230, 44710, 52110, 52140, 52180, 52210, 52750, 52720]"
52720,5,"[44710, 52710, 52750, 52740, 52730]"
52730,6,"[43740, 44710, 47150, 48880, 52720, 52740]"
52740,6,"[48870, 48880, 52190, 52720, 52730, 52750]"
52750,6,"[52180, 52190, 52710, 52720, 52740, 52770]"
52770,6,"[46710, 46720, 46880, 52180, 52190, 52750]"
52790,4,"[46870, 46880, 52180, 52800]"
52800,3,"[52180, 52210, 52790]"
