year,region_code,cluster
2012,47750,NS
2012,47760,NS
2012,47770,NS
2012,47820,NS
2012,47830,NS
2012,47840,NS
2012,47850,NS
2012,47900,NS
2012,47920,NS
2012,47930,NS
2012,47940,NS
2012,48110,NS
2012,48170,NS
2012,48220,NS
2012,48240,HL
2012,48250,NS
2012,48270,NS
2012,48310,NS
2012,48330,NS
2012,48720,NS
2012,48730,NS
2012,48740,NS
2012,48820,NS
2012,48840,NS
2012,48850,NS
2012,48860,NS
2012,48870,NS
2012,48880,NS
2012,48890,NS
2012,50110,NS
2012,50130,NS
2012,51110,NS
2012,51130,NS
2012,51150,NS
2012,51170,NS
2012,51190,NS
2012,51210,NS
2012,51230,NS
2012,51720,NS
2012,51730,NS
2012,51750,NS
2012,51760,NS
2012,51770,NS
2012,51780,NS
2012,51790,NS
2012,51800,NS
2012,51810,NS
2012,51820,NS
2012,51830,NS
2012,52110,NS
2012,52130,NS
2012,52140,NS
2012,52180,NS
2012,52190,NS
2012,52210,NS
2012,52710,HL
2012,52720,NS
2012,52730,NS
2012,52740,HL
2012,52750,NS
2012,52770,NS
2012,52790,NS
2012,52800,NS
2013,11110,NS
2013,11140,LL
2013,11170,LL
2013,11200,LL
2013,11215,LL
2013,11230,LL
2013,11260,LL
2013,11290,LL
2013,11305,NS
2013,11320,LL
2013,11350,NS
2013,11380,NS
2013,11410,LL
2013,11440,LL
2013,11470,LL
2013,11500,NS
2013,11530,LL
2013,11545,LL
2013,11560,LL
2013,11590,HL
2013,11620,LL
2013,11650,HL
2013,11680,NS
2013,11710,LL
2013,11740,NS
2013,26110,LL
2013,26140,LL
2013,26170,LL
2013,26200,NS
2013,26230,LL
2013,26260,LL
2013,26290,LL
2013,26320,NS
2013,26350,LH
2013,26380,NS
2013,26410,LH
2013,26440,HL
2013,26470,NS
2013,26500,NS
2013,26530,NS
2013,26710,NS
2013,27110,NS
2013,27140,NS
2013,27170,NS
2013,27200,NS
2013,27230,NS
2013,27260,NS
2013,27290,NS
2013,27710,NS
2013,27720,NS
2013,28110,NS
2013,28140,LH
2013,28177,LH
2013,28185,HH
2013,28200,NS
2013,28237,NS
2013,28245,LH
2013,28260,NS
2013,28710,HH
2013,28720,NS
2013,29110,NS
2013,29140,NS
2013,29155,NS
2013,29170,NS
2013,29200,NS
2013,30110,NS
2013,30140,NS
2013,30170,NS
2013,30200,NS
2013,30230,NS
2013,31110,NS
2013,31140,NS
2013,31170,NS
2013,31200,NS
2013,31710,LH
2013,36110,NS
2013,41110,NS
2013,41130,NS
2013,41150,NS
2013,41170,LL
2013,41190,LL
2013,41210,LL
2013,41220,NS
2013,41250,NS
2013,41270,NS
2013,41280,NS
2013,41290,NS
2013,41310,NS
2013,41360,NS
2013,41370,NS
2013,41390,LL
2013,41410,NS
2013,41430,NS
2013,41450,NS
2013,41460,NS
2013,41480,HH
2013,41500,NS
2013,41550,NS
2013,41570,NS
2013,41590,NS
2013,41610,NS
2013,41630,NS
2013,41650,NS
2013,41670,NS
2013,41800,NS
2013,41820,NS
2013,41830,NS
2013,43110,HH
2013,43130,NS
2013,43150,NS
2013,43720,NS
2013,43730,NS
2013,43740,NS
2013,43745,NS
2013,43750,NS
2013,43760,NS
2013,43770,NS
2013,43800,NS
2013,44130,HH
2013,44150,NS
2013,44180,NS
2013,44200,NS
2013,44210,NS
2013,44230,NS
2013,44250,NS
2013,44270,NS
2013,44710,NS
2013,44760,NS
2013,44770,NS
2013,44790,NS
2013,44800,NS
2013,44810,NS
2013,44825,NS
2013,46110,NS
2013,46130,NS
2013,46150,NS
2013,46170,NS
2013,46230,NS
2013,46710,NS
2013,46720,NS
2013,46730,NS
2013,46770,NS
2013,46780,NS
2013,46790,NS
2013,46800,NS
2013,46810,NS
2013,46820,NS
2013,46830,NS
2013,46840,NS
2013,46860,NS
2013,46870,NS
2013,46880,NS
2013,46890,NS
2013,46900,NS
2013,46910,HH
2013,47110,NS
2013,47130,NS
2013,47150,NS
2013,47170,NS
2013,47190,NS
2013,47210,NS
2013,47230,NS
2013,47250,NS
2013,47280,NS
2013,47290,NS
2013,47730,NS
2013,47750,NS
2013,47760,NS
2013,47770,NS
2013,47820,NS
2013,47830,NS
2013,47840,NS
2013,47850,NS
2013,47900,NS
2013,47920,NS
2013,47930,NS
2013,47940,NS
2013,48110,NS
2013,48170,NS
2013,48220,NS
2013,48240,NS
2013,48250,NS
2013,48270,NS
2013,48310,NS
2013,48330,HH
2013,48720,NS
2013,48730,NS
2013,48740,NS
2013,48820,NS
2013,48840,NS
2013,48850,NS
2013,48860,NS
2013,48870,NS
2013,48880,NS
2013,48890,NS
2013,50110,NS
2013,50130,NS
2013,51110,NS
2013,51130,NS
2013,51150,NS
2013,51170,NS
2013,51190,NS
2013,51210,NS
2013,51230,NS
2013,51720,NS
2013,51730,NS
2013,51750,NS
2013,51760,NS
2013,51770,NS
2013,51780,NS
2013,51790,NS
2013,51800,NS
2013,51810,NS
2013,51820,NS
2013,51830,NS
2013,52110,NS
2013,52130,NS
2013,52140,NS
2013,52180,NS
2013,52190,NS
2013,52210,NS
2013,52710,NS
2013,52720,NS
2013,52730,NS
2013,52740,NS
2013,52750,NS
2013,52770,NS
2013,52790,NS
